Title,Country,Date,Time,Impact,Forecast,Previous,URL
Net Lending to Individuals m/m,GBP,2019-03-29,,Medium,4.6B,4.7B,https://www.forexfactory.com/calendar?day=mar29.2019
M4 Money Supply m/m,GBP,2019-03-29,,Low,0.3%,0.2%,https://www.forexfactory.com/calendar?day=mar29.2019
Mortgage Approvals,GBP,2019-03-29,,Low,65K,67K,https://www.forexfactory.com/calendar?day=mar29.2019
Revised Business Investment q/q,GBP,2019-03-29,,Low,-1.4%,-1.4%,https://www.forexfactory.com/calendar?day=mar29.2019
Italian Prelim CPI m/m,EUR,2019-03-29,10:00,Low,0.3%,0.1%,https://www.forexfactory.com/calendar?day=mar29.2019
GDP m/m,CAD,2019-03-29,12:30,High,0.1%,-0.1%,https://www.forexfactory.com/calendar?day=mar29.2019
RMPI m/m,CAD,2019-03-29,,Medium,1.2%,4.0%,https://www.forexfactory.com/calendar?day=mar29.2019
IPPI m/m,CAD,2019-03-29,,Low,0.4%,-0.3%,https://www.forexfactory.com/calendar?day=mar29.2019
Core PCE Price Index m/m,USD,2019-03-29,,Medium,0.2%,0.2%,https://www.forexfactory.com/calendar?day=mar29.2019
Personal Spending m/m,USD,2019-03-29,,Medium,0.3%,-0.6%,https://www.forexfactory.com/calendar?day=mar29.2019
Personal Income m/m,USD,2019-03-29,,Low,0.3%,-0.1%,https://www.forexfactory.com/calendar?day=mar29.2019
Chicago PMI,USD,2019-03-29,13:45,Medium,61.1,64.7,https://www.forexfactory.com/calendar?day=mar29.2019
Revised UoM Consumer Sentiment,USD,2019-03-29,14:00,Medium,97.8,97.8,https://www.forexfactory.com/calendar?day=mar29.2019
New Home Sales,USD,2019-03-29,,Low,625K,636K,https://www.forexfactory.com/calendar?day=mar29.2019
Revised UoM Inflation Expectations,USD,2019-03-29,,Low,,2.4%,https://www.forexfactory.com/calendar?day=mar29.2019
Parliament Brexit Vote,GBP,2019-03-29,14:42,High,Reject,,https://www.forexfactory.com/calendar?day=mar29.2019
FOMC Member Quarles Speaks,USD,2019-03-29,16:00,Medium,,,https://www.forexfactory.com/calendar?day=mar29.2019
Daylight Saving Time Shift,CHF,2019-03-31,01:00,Low,,,https://www.forexfactory.com/calendar?day=mar30.2019
Manufacturing PMI,CNY,2019-03-30,,High,49.6,49.2,https://www.forexfactory.com/calendar?day=mar30.2019
Non-Manufacturing PMI,CNY,2019-03-30,,Medium,54.5,54.3,https://www.forexfactory.com/calendar?day=mar30.2019
Daylight Saving Time Shift,EUR,2019-03-30,,Low,,,https://www.forexfactory.com/calendar?day=mar30.2019
Daylight Saving Time Shift,GBP,2019-03-30,,Low,,,https://www.forexfactory.com/calendar?day=mar30.2019
AIG Manufacturing Index,AUD,2019-03-31,21:30,Low,,54.0,https://www.forexfactory.com/calendar?day=mar31.2019
Tankan Manufacturing Index,JPY,2019-03-31,23:50,Low,13,19,https://www.forexfactory.com/calendar?day=mar31.2019
Tankan Non-Manufacturing Index,JPY,2019-03-31,,Low,22,24,https://www.forexfactory.com/calendar?day=mar31.2019
MI Inflation Gauge m/m,AUD,2019-04-01,00:00,Low,,0.1%,https://www.forexfactory.com/calendar?day=mar31.2019
NAB Business Confidence,AUD,2019-04-01,00:30,Low,,2,https://www.forexfactory.com/calendar?day=mar31.2019
Final Manufacturing PMI,JPY,2019-03-31,,Low,48.9,48.9,https://www.forexfactory.com/calendar?day=mar31.2019
RatingDog Manufacturing PMI,CNY,2019-04-01,01:45,High,50.1,49.9,https://www.forexfactory.com/calendar?day=mar31.2019
HIA New Home Sales m/m,AUD,2019-04-01,03:30,Low,,-1.8%,https://www.forexfactory.com/calendar?day=apr1.2019
Commodity Prices y/y,AUD,2019-04-01,05:30,Low,,9.7%,https://www.forexfactory.com/calendar?day=apr1.2019
Retail Sales y/y,CHF,2019-04-01,06:30,Low,0.3%,-0.2%,https://www.forexfactory.com/calendar?day=apr1.2019
Spanish Manufacturing PMI,EUR,2019-04-01,07:15,Low,49.8,49.9,https://www.forexfactory.com/calendar?day=apr1.2019
Manufacturing PMI,CHF,2019-04-01,07:30,Low,53.6,55.4,https://www.forexfactory.com/calendar?day=apr1.2019
Italian Manufacturing PMI,EUR,2019-04-01,07:45,Low,47.6,47.7,https://www.forexfactory.com/calendar?day=apr1.2019
French Final Manufacturing PMI,EUR,2019-04-01,07:50,Low,49.8,49.8,https://www.forexfactory.com/calendar?day=apr1.2019
German Final Manufacturing PMI,EUR,2019-04-01,07:55,Low,44.7,44.7,https://www.forexfactory.com/calendar?day=apr1.2019
Final Manufacturing PMI,EUR,2019-04-01,08:00,Low,47.6,47.6,https://www.forexfactory.com/calendar?day=apr1.2019
Italian Monthly Unemployment Rate,EUR,2019-04-01,,Low,10.5%,10.5%,https://www.forexfactory.com/calendar?day=apr1.2019
Final Manufacturing PMI,GBP,2019-04-01,08:30,Medium,51.2,52.1,https://www.forexfactory.com/calendar?day=apr1.2019
Core CPI Flash Estimate y/y,EUR,2019-04-01,09:00,Medium,0.9%,1.0%,https://www.forexfactory.com/calendar?day=apr1.2019
CPI Flash Estimate y/y,EUR,2019-04-01,,Medium,1.5%,1.5%,https://www.forexfactory.com/calendar?day=apr1.2019
Unemployment Rate,EUR,2019-04-01,,Low,7.8%,7.8%,https://www.forexfactory.com/calendar?day=apr1.2019
Core Retail Sales m/m,USD,2019-04-01,12:30,High,0.4%,1.4%,https://www.forexfactory.com/calendar?day=apr1.2019
Retail Sales m/m,USD,2019-04-01,,High,0.3%,0.7%,https://www.forexfactory.com/calendar?day=apr1.2019
Manufacturing PMI,CAD,2019-04-01,13:30,Low,,52.6,https://www.forexfactory.com/calendar?day=apr1.2019
Final Manufacturing PMI,USD,2019-04-01,13:45,Low,52.5,52.5,https://www.forexfactory.com/calendar?day=apr1.2019
ISM Manufacturing PMI,USD,2019-04-01,14:00,High,54.4,54.2,https://www.forexfactory.com/calendar?day=apr1.2019
Business Inventories m/m,USD,2019-04-01,,Low,0.4%,0.8%,https://www.forexfactory.com/calendar?day=apr1.2019
Construction Spending m/m,USD,2019-04-01,,Low,0.1%,2.5%,https://www.forexfactory.com/calendar?day=apr1.2019
ISM Manufacturing Prices,USD,2019-04-01,,Low,55.0,49.4,https://www.forexfactory.com/calendar?day=apr1.2019
BOC Gov Poloz Speaks,CAD,2019-04-01,18:55,High,,,https://www.forexfactory.com/calendar?day=apr1.2019
NZIER Business Confidence,NZD,2019-04-01,21:00,Medium,,-17,https://www.forexfactory.com/calendar?day=apr1.2019
Monetary Base y/y,JPY,2019-04-01,23:50,Low,4.4%,4.6%,https://www.forexfactory.com/calendar?day=apr1.2019
Building Approvals m/m,AUD,2019-04-02,00:30,High,-1.7%,2.3%,https://www.forexfactory.com/calendar?day=apr1.2019
RBA Rate Statement,AUD,2019-04-02,03:30,High,,,https://www.forexfactory.com/calendar?day=apr2.2019
Cash Rate,AUD,2019-04-02,,Medium,1.50%,1.50%,https://www.forexfactory.com/calendar?day=apr2.2019
10-y Bond Auction,JPY,2019-04-02,03:35,Low,,0.00|4.3,https://www.forexfactory.com/calendar?day=apr2.2019
CPI m/m,CHF,2019-04-02,06:30,Low,0.4%,0.4%,https://www.forexfactory.com/calendar?day=apr2.2019
Spanish Unemployment Change,EUR,2019-04-02,07:00,Low,-28.5K,3.3K,https://www.forexfactory.com/calendar?day=apr2.2019
Annual Budget Release,AUD,2019-04-02,08:30,High,,,https://www.forexfactory.com/calendar?day=apr2.2019
Construction PMI,GBP,2019-04-02,,Low,49.8,49.5,https://www.forexfactory.com/calendar?day=apr2.2019
PPI m/m,EUR,2019-04-02,09:00,Low,0.2%,0.3%,https://www.forexfactory.com/calendar?day=apr2.2019
Core Durable Goods Orders m/m,USD,2019-04-02,12:30,High,0.3%,-0.2%,https://www.forexfactory.com/calendar?day=apr2.2019
Durable Goods Orders m/m,USD,2019-04-02,,Medium,-1.1%,0.3%,https://www.forexfactory.com/calendar?day=apr2.2019
Wards Total Vehicle Sales,USD,2019-04-02,All Day,Low,16.8M,16.6M,https://www.forexfactory.com/calendar?day=apr2.2019
GDT Price Index,NZD,2019-04-02,14:49,Low,,1.9%,https://www.forexfactory.com/calendar?day=apr2.2019
Total Vehicle Sales,USD,2019-04-02,All Day,Low,16.7M,16.6M,https://www.forexfactory.com/calendar?day=apr2.2019
API Weekly Statistical Bulletin,USD,2019-04-02,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr2.2019
AIG Services Index,AUD,2019-04-02,21:30,Low,,44.5,https://www.forexfactory.com/calendar?day=apr2.2019
BRC Shop Price Index y/y,GBP,2019-04-02,23:01,Low,,0.7%,https://www.forexfactory.com/calendar?day=apr2.2019
ANZ Commodity Prices m/m,NZD,2019-04-03,00:00,Low,,2.8%,https://www.forexfactory.com/calendar?day=apr2.2019
Retail Sales m/m,AUD,2019-04-03,00:30,High,0.3%,0.1%,https://www.forexfactory.com/calendar?day=apr2.2019
Goods Trade Balance,AUD,2019-04-02,,Medium,3.71B,4.35B,https://www.forexfactory.com/calendar?day=apr2.2019
RatingDog Services PMI,CNY,2019-04-03,01:45,Medium,52.3,51.1,https://www.forexfactory.com/calendar?day=apr2.2019
Spanish Services PMI,EUR,2019-04-03,07:15,Low,55.0,54.5,https://www.forexfactory.com/calendar?day=apr3.2019
Italian Services PMI,EUR,2019-04-03,07:45,Low,50.9,50.4,https://www.forexfactory.com/calendar?day=apr3.2019
French Final Services PMI,EUR,2019-04-03,07:50,Low,48.7,48.7,https://www.forexfactory.com/calendar?day=apr3.2019
German Final Services PMI,EUR,2019-04-03,07:55,Low,54.9,54.9,https://www.forexfactory.com/calendar?day=apr3.2019
Final Services PMI,EUR,2019-04-03,08:00,Low,52.7,52.7,https://www.forexfactory.com/calendar?day=apr3.2019
Final Services PMI,GBP,2019-04-03,08:30,Medium,51.0,51.3,https://www.forexfactory.com/calendar?day=apr3.2019
Retail Sales m/m,EUR,2019-04-03,09:00,Low,0.2%,0.9%,https://www.forexfactory.com/calendar?day=apr3.2019
ADP Non-Farm Employment Change,USD,2019-04-03,12:15,Medium,184K,197K,https://www.forexfactory.com/calendar?day=apr3.2019
Final Services PMI,USD,2019-04-03,13:45,Low,54.8,54.8,https://www.forexfactory.com/calendar?day=apr3.2019
ISM Services PMI,USD,2019-04-03,14:00,Medium,58.1,59.7,https://www.forexfactory.com/calendar?day=apr3.2019
Crude Oil Inventories,USD,2019-04-03,14:30,Low,-0.7M,2.8M,https://www.forexfactory.com/calendar?day=apr3.2019
30-y Bond Auction,JPY,2019-04-04,03:35,Low,,0.62|4.6,https://www.forexfactory.com/calendar?day=apr4.2019
German Factory Orders m/m,EUR,2019-04-04,06:00,Low,0.3%,-2.1%,https://www.forexfactory.com/calendar?day=apr4.2019
Housing Equity Withdrawal q/q,GBP,2019-04-04,08:30,Low,-7.7B,-7.3B,https://www.forexfactory.com/calendar?day=apr4.2019
Spanish 10-y Bond Auction,EUR,2019-04-04,08:58,Low,,1.10|1.5,https://www.forexfactory.com/calendar?day=apr4.2019
French 10-y Bond Auction,EUR,2019-04-04,09:00,Low,,0.57|1.9,https://www.forexfactory.com/calendar?day=apr4.2019
ECB Monetary Policy Meeting Accounts,EUR,2019-04-04,11:30,Medium,,,https://www.forexfactory.com/calendar?day=apr4.2019
Challenger Job Cuts y/y,USD,2019-04-04,,Low,,117.2%,https://www.forexfactory.com/calendar?day=apr4.2019
Unemployment Claims,USD,2019-04-04,12:30,Low,215K,212K,https://www.forexfactory.com/calendar?day=apr4.2019
Ivey PMI,CAD,2019-04-04,14:00,Medium,51.4,50.6,https://www.forexfactory.com/calendar?day=apr4.2019
Natural Gas Storage,USD,2019-04-04,14:30,Low,2B,-36B,https://www.forexfactory.com/calendar?day=apr4.2019
AIG Construction Index,AUD,2019-04-04,21:30,Low,,43.8,https://www.forexfactory.com/calendar?day=apr4.2019
Average Cash Earnings y/y,JPY,2019-04-04,23:30,Low,0.9%,-0.6%,https://www.forexfactory.com/calendar?day=apr4.2019
Household Spending y/y,JPY,2019-04-04,,Low,1.9%,2.0%,https://www.forexfactory.com/calendar?day=apr4.2019
Bank Holiday,CNY,2019-04-04,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr4.2019
Leading Indicators,JPY,2019-04-05,05:00,Low,97.3%,96.5%,https://www.forexfactory.com/calendar?day=apr5.2019
German Industrial Production m/m,EUR,2019-04-05,06:00,Low,0.6%,0.0%,https://www.forexfactory.com/calendar?day=apr5.2019
French Trade Balance,EUR,2019-04-05,06:45,Low,-4.7B,-4.2B,https://www.forexfactory.com/calendar?day=apr5.2019
Foreign Currency Reserves,CHF,2019-04-05,07:00,Low,,739B,https://www.forexfactory.com/calendar?day=apr5.2019
Halifax HPI m/m,GBP,2019-04-05,07:30,Low,-2.5%,6.0%,https://www.forexfactory.com/calendar?day=apr5.2019
Eurogroup Meetings,EUR,2019-04-05,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr5.2019
Employment Change,CAD,2019-04-05,12:30,High,3.0K,55.9K,https://www.forexfactory.com/calendar?day=apr5.2019
Unemployment Rate,CAD,2019-04-05,,High,5.8%,5.8%,https://www.forexfactory.com/calendar?day=apr5.2019
Average Hourly Earnings m/m,USD,2019-04-05,,High,0.3%,0.4%,https://www.forexfactory.com/calendar?day=apr5.2019
Non-Farm Employment Change,USD,2019-04-05,,High,172K,33K,https://www.forexfactory.com/calendar?day=apr5.2019
Unemployment Rate,USD,2019-04-05,,High,3.8%,3.8%,https://www.forexfactory.com/calendar?day=apr5.2019
Consumer Credit m/m,USD,2019-04-05,19:00,Low,17.2B,17.7B,https://www.forexfactory.com/calendar?day=apr5.2019
ECOFIN Meetings,EUR,2019-04-06,All Day,Low,,,https://www.forexfactory.com/calendar?day=apr6.2019
Daylight Saving Time Shift,NZD,2019-04-06,14:00,Low,,,https://www.forexfactory.com/calendar?day=apr6.2019
Daylight Saving Time Shift,AUD,2019-04-06,16:00,Low,,,https://www.forexfactory.com/calendar?day=apr6.2019
Current Account,JPY,2019-04-07,23:50,Low,1.96T,1.83T,https://www.forexfactory.com/calendar?day=apr7.2019
ANZ Job Advertisements m/m,AUD,2019-04-08,01:30,Low,,-0.8%,https://www.forexfactory.com/calendar?day=apr7.2019
Consumer Confidence,JPY,2019-04-08,05:00,Low,41.5,41.5,https://www.forexfactory.com/calendar?day=apr8.2019
German Trade Balance,EUR,2019-04-08,06:00,Low,19.0B,18.6B,https://www.forexfactory.com/calendar?day=apr8.2019
Economy Watchers Sentiment,JPY,2019-04-08,,Low,47.6,47.5,https://www.forexfactory.com/calendar?day=apr8.2019
Sentix Investor Confidence,EUR,2019-04-08,08:30,Low,-1.7,-2.2,https://www.forexfactory.com/calendar?day=apr8.2019
Consumer Inflation Expectations,GBP,2019-04-08,,Low,,3.2%,https://www.forexfactory.com/calendar?day=apr8.2019
Housing Starts,CAD,2019-04-08,12:13,Low,193K,166K,https://www.forexfactory.com/calendar?day=apr8.2019
Building Permits m/m,CAD,2019-04-08,12:30,Low,2.0%,-6.0%,https://www.forexfactory.com/calendar?day=apr8.2019
Factory Orders m/m,USD,2019-04-08,14:00,Low,-0.5%,0.0%,https://www.forexfactory.com/calendar?day=apr8.2019
BRC Retail Sales Monitor y/y,GBP,2019-04-08,23:01,Low,-0.7%,-0.1%,https://www.forexfactory.com/calendar?day=apr8.2019
Home Loans m/m,AUD,2019-04-09,01:30,Low,-3.0%,-2.5%,https://www.forexfactory.com/calendar?day=apr8.2019
Unemployment Rate,CHF,2019-04-09,05:45,Low,2.4%,2.4%,https://www.forexfactory.com/calendar?day=apr9.2019
Italian Retail Sales m/m,EUR,2019-04-09,08:00,Low,-0.2%,0.6%,https://www.forexfactory.com/calendar?day=apr9.2019
10-y Bond Auction,GBP,2019-04-09,09:35,Low,,1.16|2.1,https://www.forexfactory.com/calendar?day=apr9.2019
NFIB Small Business Index,USD,2019-04-09,10:00,Low,101.3,101.7,https://www.forexfactory.com/calendar?day=apr9.2019
JOLTS Job Openings,USD,2019-04-09,14:00,Low,7.54M,7.63M,https://www.forexfactory.com/calendar?day=apr9.2019
RCM/TIPP Economic Optimism,USD,2019-04-09,14:03,Low,53.2,55.7,https://www.forexfactory.com/calendar?day=apr9.2019
API Weekly Statistical Bulletin,USD,2019-04-09,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr9.2019
FOMC Member Quarles Speaks,USD,2019-04-09,21:00,Medium,,,https://www.forexfactory.com/calendar?day=apr9.2019
FOMC Member Clarida Speaks,USD,2019-04-09,22:45,Medium,,,https://www.forexfactory.com/calendar?day=apr9.2019
Bank Lending y/y,JPY,2019-04-09,23:50,Low,2.3%,2.3%,https://www.forexfactory.com/calendar?day=apr9.2019
Core Machinery Orders m/m,JPY,2019-04-09,,Low,3.0%,-5.4%,https://www.forexfactory.com/calendar?day=apr9.2019
PPI y/y,JPY,2019-04-09,,Low,1.0%,0.9%,https://www.forexfactory.com/calendar?day=apr9.2019
Westpac Consumer Sentiment,AUD,2019-04-10,00:30,Medium,,-4.8%,https://www.forexfactory.com/calendar?day=apr9.2019
RBA Deputy Gov Debelle Speaks,AUD,2019-04-10,03:30,Medium,,,https://www.forexfactory.com/calendar?day=apr10.2019
Prelim Machine Tool Orders y/y,JPY,2019-04-10,05:59,Low,,-29.3%,https://www.forexfactory.com/calendar?day=apr10.2019
French Industrial Production m/m,EUR,2019-04-10,06:45,Low,-0.5%,1.2%,https://www.forexfactory.com/calendar?day=apr10.2019
Italian Industrial Production m/m,EUR,2019-04-10,08:00,Low,-0.5%,1.9%,https://www.forexfactory.com/calendar?day=apr10.2019
GDP m/m,GBP,2019-04-10,08:30,High,0.2%,0.5%,https://www.forexfactory.com/calendar?day=apr10.2019
Manufacturing Production m/m,GBP,2019-04-10,,High,0.2%,1.1%,https://www.forexfactory.com/calendar?day=apr10.2019
Construction Output m/m,GBP,2019-04-10,,Low,-0.2%,3.5%,https://www.forexfactory.com/calendar?day=apr10.2019
Goods Trade Balance,GBP,2019-04-10,,Low,-12.5B,-14.6B,https://www.forexfactory.com/calendar?day=apr10.2019
Index of Services 3m/3m,GBP,2019-04-10,,Low,0.4%,0.5%,https://www.forexfactory.com/calendar?day=apr10.2019
Industrial Production m/m,GBP,2019-04-10,,Low,0.1%,0.7%,https://www.forexfactory.com/calendar?day=apr10.2019
Main Refinancing Rate,EUR,2019-04-10,11:45,High,0.00%,0.00%,https://www.forexfactory.com/calendar?day=apr10.2019
Monetary Policy Statement,EUR,2019-04-10,,High,,,https://www.forexfactory.com/calendar?day=apr10.2019
ECB Press Conference,EUR,2019-04-10,12:30,High,,,https://www.forexfactory.com/calendar?day=apr10.2019
Core CPI m/m,USD,2019-04-10,,High,0.2%,0.1%,https://www.forexfactory.com/calendar?day=apr10.2019
CPI m/m,USD,2019-04-10,,High,0.3%,0.2%,https://www.forexfactory.com/calendar?day=apr10.2019
CPI y/y,USD,2019-04-10,,High,1.8%,1.5%,https://www.forexfactory.com/calendar?day=apr10.2019
NIESR GDP Estimate,GBP,2019-04-10,12:45,Low,,0.3%,https://www.forexfactory.com/calendar?day=apr10.2019
Crude Oil Inventories,USD,2019-04-10,14:30,Low,2.6M,7.2M,https://www.forexfactory.com/calendar?day=apr10.2019
FOMC Member Quarles Speaks,USD,2019-04-10,15:50,Medium,,,https://www.forexfactory.com/calendar?day=apr10.2019
10-y Bond Auction,USD,2019-04-10,17:01,Low,,2.62|2.6,https://www.forexfactory.com/calendar?day=apr10.2019
FOMC Meeting Minutes,USD,2019-04-10,18:00,High,,,https://www.forexfactory.com/calendar?day=apr10.2019
Federal Budget Balance,USD,2019-04-10,,Low,-194.7B,-234.0B,https://www.forexfactory.com/calendar?day=apr10.2019
FPI m/m,NZD,2019-04-10,22:45,Low,,0.4%,https://www.forexfactory.com/calendar?day=apr10.2019
RICS House Price Balance,GBP,2019-04-10,23:01,Low,-30%,-27%,https://www.forexfactory.com/calendar?day=apr10.2019
M2 Money Stock y/y,JPY,2019-04-10,23:50,Low,2.4%,2.4%,https://www.forexfactory.com/calendar?day=apr10.2019
MI Inflation Expectations,AUD,2019-04-11,01:00,Low,,4.1%,https://www.forexfactory.com/calendar?day=apr10.2019
CPI y/y,CNY,2019-04-11,01:30,High,2.3%,1.5%,https://www.forexfactory.com/calendar?day=apr10.2019
PPI y/y,CNY,2019-04-10,,Medium,0.4%,0.1%,https://www.forexfactory.com/calendar?day=apr10.2019
RBA Deputy Gov Debelle Speaks,AUD,2019-04-11,02:30,Medium,,,https://www.forexfactory.com/calendar?day=apr10.2019
German Final CPI m/m,EUR,2019-04-11,06:00,Low,0.4%,0.4%,https://www.forexfactory.com/calendar?day=apr11.2019
French Final CPI m/m,EUR,2019-04-11,06:45,Low,0.8%,0.8%,https://www.forexfactory.com/calendar?day=apr11.2019
NHPI m/m,CAD,2019-04-11,12:30,Low,0.0%,-0.1%,https://www.forexfactory.com/calendar?day=apr11.2019
PPI m/m,USD,2019-04-11,,High,0.3%,0.1%,https://www.forexfactory.com/calendar?day=apr11.2019
Core PPI m/m,USD,2019-04-11,,Medium,0.2%,0.1%,https://www.forexfactory.com/calendar?day=apr11.2019
Unemployment Claims,USD,2019-04-11,,Medium,210K,204K,https://www.forexfactory.com/calendar?day=apr11.2019
FOMC Member Clarida Speaks,USD,2019-04-11,13:30,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
FOMC Member Williams Speaks,USD,2019-04-11,13:35,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
FOMC Member Bullard Speaks,USD,2019-04-11,13:40,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
Natural Gas Storage,USD,2019-04-11,14:30,Low,32B,23B,https://www.forexfactory.com/calendar?day=apr11.2019
Gov Council Member Wilkins Speaks,CAD,2019-04-11,17:00,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
30-y Bond Auction,USD,2019-04-11,17:01,Low,,3.01|2.3,https://www.forexfactory.com/calendar?day=apr11.2019
FOMC Member Bowman Speaks,USD,2019-04-11,20:00,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
BusinessNZ Manufacturing Index,NZD,2019-04-11,22:30,Low,,53.4,https://www.forexfactory.com/calendar?day=apr11.2019
Visitor Arrivals m/m,NZD,2019-04-11,22:48,Low,,-0.3%,https://www.forexfactory.com/calendar?day=apr11.2019
RBA Financial Stability Review,AUD,2019-04-12,01:30,Medium,,,https://www.forexfactory.com/calendar?day=apr11.2019
German WPI m/m,EUR,2019-04-12,06:00,Low,0.2%,0.3%,https://www.forexfactory.com/calendar?day=apr12.2019
USD-Denominated Trade Balance,CNY,2019-04-12,06:30,Low,7.7B,4.1B,https://www.forexfactory.com/calendar?day=apr12.2019
Trade Balance,CNY,2019-04-12,07:31,High,2B,34B,https://www.forexfactory.com/calendar?day=apr12.2019
M2 Money Supply y/y,CNY,2019-04-12,08:00,Low,8.2%,8.0%,https://www.forexfactory.com/calendar?day=apr12.2019
New Loans,CNY,2019-04-12,,Low,1223B,886B,https://www.forexfactory.com/calendar?day=apr12.2019
Industrial Production m/m,EUR,2019-04-12,09:00,Low,-0.5%,1.9%,https://www.forexfactory.com/calendar?day=apr12.2019
Import Prices m/m,USD,2019-04-12,12:30,Low,0.4%,1.0%,https://www.forexfactory.com/calendar?day=apr12.2019
CB Leading Index m/m,GBP,2019-04-12,13:30,Low,,-0.5%,https://www.forexfactory.com/calendar?day=apr12.2019
Prelim UoM Consumer Sentiment,USD,2019-04-12,14:00,Medium,98.1,98.4,https://www.forexfactory.com/calendar?day=apr12.2019
Prelim UoM Inflation Expectations,USD,2019-04-12,,Low,,2.5%,https://www.forexfactory.com/calendar?day=apr12.2019
IMF Meetings,All,2019-04-12,Day 1,Low,,,https://www.forexfactory.com/calendar?day=apr12.2019
BOE Gov Carney Speaks,GBP,2019-04-12,16:30,High,,,https://www.forexfactory.com/calendar?day=apr12.2019
Gov Council Member Lane Speaks,CAD,2019-04-12,18:00,Medium,,,https://www.forexfactory.com/calendar?day=apr12.2019
IMF Meetings,All,2019-04-13,Day 2,Low,,,https://www.forexfactory.com/calendar?day=apr13.2019
IMF Meetings,All,2019-04-14,Day 3,Low,,,https://www.forexfactory.com/calendar?day=apr14.2019
BusinessNZ Services Index,NZD,2019-04-14,22:30,Low,,53.6,https://www.forexfactory.com/calendar?day=apr14.2019
Rightmove HPI m/m,GBP,2019-04-14,23:01,Low,,0.4%,https://www.forexfactory.com/calendar?day=apr14.2019
PPI m/m,CHF,2019-04-15,06:30,Low,0.2%,0.2%,https://www.forexfactory.com/calendar?day=apr15.2019
German Buba Monthly Report,EUR,2019-04-15,10:00,Low,,,https://www.forexfactory.com/calendar?day=apr15.2019
FOMC Member Evans Speaks,USD,2019-04-15,12:30,Medium,,,https://www.forexfactory.com/calendar?day=apr15.2019
Empire State Manufacturing Index,USD,2019-04-15,,Low,8.1,3.7,https://www.forexfactory.com/calendar?day=apr15.2019
BOC Business Outlook Survey,CAD,2019-04-15,14:30,High,,,https://www.forexfactory.com/calendar?day=apr15.2019
MPC Member Haskel Speaks,GBP,2019-04-15,16:00,Low,,,https://www.forexfactory.com/calendar?day=apr15.2019
FOMC Member Evans Speaks,USD,2019-04-15,17:00,Medium,,,https://www.forexfactory.com/calendar?day=apr15.2019
TIC Long-Term Purchases,USD,2019-04-15,20:00,Low,-18.2B,-7.2B,https://www.forexfactory.com/calendar?day=apr15.2019
FOMC Member Rosengren Speaks,USD,2019-04-16,00:00,Medium,,,https://www.forexfactory.com/calendar?day=apr15.2019
Monetary Policy Meeting Minutes,AUD,2019-04-16,01:30,High,,,https://www.forexfactory.com/calendar?day=apr15.2019
New Home Prices m/m,CNY,2019-04-15,,Low,,0.53%,https://www.forexfactory.com/calendar?day=apr15.2019
Tertiary Industry Activity m/m,JPY,2019-04-16,04:30,Low,-0.2%,0.6%,https://www.forexfactory.com/calendar?day=apr16.2019
Average Earnings Index 3m/y,GBP,2019-04-16,08:30,High,3.5%,3.5%,https://www.forexfactory.com/calendar?day=apr16.2019
Unemployment Rate,GBP,2019-04-16,,Medium,3.9%,3.9%,https://www.forexfactory.com/calendar?day=apr16.2019
Claimant Count Change,GBP,2019-04-16,,Low,17.3K,26.7K,https://www.forexfactory.com/calendar?day=apr16.2019
German ZEW Economic Sentiment,EUR,2019-04-16,09:00,Medium,0.9,-3.6,https://www.forexfactory.com/calendar?day=apr16.2019
ZEW Economic Sentiment,EUR,2019-04-16,,Low,1.2,-2.5,https://www.forexfactory.com/calendar?day=apr16.2019
Manufacturing Sales m/m,CAD,2019-04-16,12:30,Medium,-0.1%,0.8%,https://www.forexfactory.com/calendar?day=apr16.2019
Foreign Securities Purchases,CAD,2019-04-16,,Low,27.34B,28.59B,https://www.forexfactory.com/calendar?day=apr16.2019
Capacity Utilization Rate,USD,2019-04-16,13:15,Low,79.2%,78.2%,https://www.forexfactory.com/calendar?day=apr16.2019
Industrial Production m/m,USD,2019-04-16,,Low,0.2%,0.1%,https://www.forexfactory.com/calendar?day=apr16.2019
NAHB Housing Market Index,USD,2019-04-16,14:00,Low,63,62,https://www.forexfactory.com/calendar?day=apr16.2019
GDT Price Index,NZD,2019-04-16,14:32,Low,,0.8%,https://www.forexfactory.com/calendar?day=apr16.2019
API Weekly Statistical Bulletin,USD,2019-04-16,20:30,Low,,,https://www.forexfactory.com/calendar?day=apr16.2019
CPI q/q,NZD,2019-04-16,22:45,High,0.3%,0.1%,https://www.forexfactory.com/calendar?day=apr16.2019
Trade Balance,JPY,2019-04-16,23:50,Low,-0.30T,0.03T,https://www.forexfactory.com/calendar?day=apr16.2019
MI Leading Index m/m,AUD,2019-04-17,00:30,Low,,0.0%,https://www.forexfactory.com/calendar?day=apr16.2019
